date,open,high,low,close,diff,sma10,vol,it,de,fi,wma10,CCI14,RSI 9,k_value,d_value,R
2008/12/31,45.5,45.5,43.9,44.4,-0.8,44.13,20717,-2309,-111,-3112,44.02,19.17,56.69,52.52,49.37,-39.53
2009/1/5,46,47.1,45.8,46.25,1.85,44.25,40988,1697,3072,20316,44.4,70.65,65.46,62.05,53.6,-18.09
2009/1/6,46.05,46.25,45,45.6,-0.65,44.32,34620,-1377,1133,-2238,44.65,43.75,60.61,63.59,56.93,-31.91
2009/1/7,45.95,46.45,44.2,44.55,-1.05,44.31,70478,-3094,-914,-10817,44.69,22.26,53.42,56.84,56.9,-56.67
2009/1/8,43.5,43.5,41.5,41.55,-3,44.08,88620,-3485,635,-38018,44.19,-98.38,38.67,38.19,50.66,-99.11
2009/1/9,40.8,42.4,40.5,41,-0.55,43.84,68245,-1502,1042,-23924,43.63,-134.79,36.59,27.98,43.1,-92.42
2009/1/10,41,41.45,40.5,41,0,43.63,20793,-836,-1171,-10559,43.11,-140.31,36.59,21.18,35.8,-92.42
2009/1/12,40.5,41.9,40.5,41.65,0.65,43.46,49283,-1448,1202,-6394,42.75,-112.32,41.32,19.93,30.51,-82.58
2009/1/13,42.8,43.95,41.7,43.8,2.15,43.5,71851,6235,-18,22569,42.81,-16.55,54.06,29.95,30.32,-50
2009/1/14,43.5,44,43,43,-0.8,43.28,44953,1436,-269,1700,42.72,-6.23,49.56,32.59,31.08,-62.12
2009/1/15,41.1,41.3,40.55,41,-2,42.94,73183,1996,1066,-35624,42.31,-117.19,40.15,24.53,28.9,-92.42
2009/1/16,42,42,41.15,41.7,0.7,42.49,32714,1005,429,619,42.08,-73.65,44.31,23.08,26.96,-81.82
2009/1/17,41.7,41.8,41.25,41.45,-0.25,42.07,7735,-1658,191,-2097,41.9,-70.41,43.11,24.43,26.12,-85.61
2009/1/19,41.3,41.4,40.9,41,-0.45,41.72,36387,-830,598,-11279,41.7,-73.29,40.86,21.05,24.43,-92.42
2009/1/20,40,40,39.6,39.6,-1.4,41.52,81283,1120,3305,-35633,41.32,-106.74,34.55,14.03,20.96,-100
2009/1/21,39,40.4,38.7,40.2,0.6,41.44,65381,-2701,2152,1441,41.08,-86.36,39.08,18.79,20.24,-80.65
2009/2/2,41.2,42.35,40.55,41.8,1.6,41.52,112407,3492,560,32981,41.14,-4.87,49.57,32.02,24.17,-60
2009/2/3,43.05,43.05,42.3,42.85,1.05,41.64,88157,1929,-88,15018,41.38,48.25,55.25,47.45,31.93,-21.7
2009/2/4,43,43.05,42.75,42.9,0.05,41.55,82976,-1087,772,2389,41.61,54.61,55.52,63.82,42.56,-20.75
2009/2/5,42.9,43.3,42.4,42.4,-0.5,41.49,69558,-1815,2537,10146,41.77,45.64,52.01,69.36,51.49,-30.19
2009/2/6,44,45,43.9,44.7,2.3,41.86,99905,1109,-2227,45571,42.35,116.4,63.85,77.98,60.32,-4.76
2009/2/9,46.4,46.6,45.4,45.5,0.8,42.24,104091,-3629,-2441,38294,43.01,149.73,67.03,80.68,67.11,-13.92
2009/2/10,46,46,44.8,44.85,-0.65,42.58,45017,-887,-1111,515,43.49,105.9,62.04,79.74,71.32,-22.15
2009/2/11,44,46.1,44,46.05,1.2,43.09,80236,-45,227,15328,44.12,96.1,67.12,84.17,75.6,-6.96
2009/2/12,46.2,46.45,44.9,45.35,-0.7,43.66,68517,194,-2890,12801,44.53,89.99,61.7,82.56,77.92,-15.82
2009/2/13,45.8,46.25,45.8,45.95,0.6,44.24,49616,575,717,13387,44.95,89.95,64.47,83.33,79.73,-8.23
2009/2/16,46.95,46.95,45.75,45.85,-0.1,44.64,51304,782,-568,-2748,45.24,82,63.61,80.83,80.09,-13.33
2009/2/17,45.1,45.4,43.05,43.8,-2.05,44.74,69139,-299,185,-34384,45.09,11.41,48.61,64.14,74.78,-38.18
2009/2/18,44,45.3,43.6,44.6,0.8,44.91,57451,144,-2407,17864,45.06,15.04,53.43,56.01,68.52,-28.48
2009/2/19,45.2,46.2,44,45.4,0.8,45.21,57594,1551,-71,16826,45.15,27.43,57.88,57.43,64.82,-24.22
2009/2/20,44.15,44.8,43.85,43.9,-1.5,45.13,71791,87,4152,-34527,44.92,-16.79,48.18,45.55,58.4,-65.59
2009/2/23,43.8,45.2,43.5,45,1.1,45.08,48812,-496,1010,5590,44.89,-7.9,54.47,47.03,54.61,-42.86
2009/2/24,43.95,44.4,43.5,44,-1,44.99,59834,-1468,507,-25705,44.7,-34.16,48.45,39.47,49.56,-64.84
2009/2/25,45,45.3,44.3,44.7,0.7,44.86,53274,1160,-1738,11810,44.64,-9.27,52.58,40.42,46.52,-57.69
2009/2/26,45,45.25,44.6,45,0.3,44.82,51563,1327,1680,3524,44.67,-3.52,54.34,43.61,45.55,-50
2009/2/27,45.3,45.45,44.8,44.95,-0.05,44.72,59357,249,1971,686,44.69,5,53.97,49.18,46.76,-51.28
2009/3/2,46,46,44.15,44.75,-0.2,44.61,100873,4560,3915,-28849,44.7,0.69,52.34,48.22,47.25,-56.41
2009/3/3,44.8,44.85,44.25,44.6,-0.15,44.69,58123,1618,1209,-13128,44.7,-25.71,51.04,45.73,46.74,-60.26
2009/3/4,45.35,46,44.8,46,1.4,44.83,84171,1983,410,18888,44.94,65.24,61.17,63.82,52.43,-24.36
2009/3/5,46.85,47.4,46,46.6,0.6,44.95,77959,-32,-1937,25239,45.26,179.99,64.69,69.04,57.97,-18.39
2009/3/6,47,48.75,46.85,48.5,1.9,45.41,101737,-188,-2419,41673,45.9,299.64,73.31,77.77,64.57,-4.39
2009/3/9,48,48.6,47,48.25,-0.25,45.74,69563,83,-416,5824,46.42,211.65,70.75,81.56,70.23,-9.52
2009/3/10,46.5,47.45,46.5,47.15,-1.1,46.05,76603,-221,2982,-22036,46.68,111.69,60.33,76.11,72.19,-30.48
2009/3/11,48.6,49,48,48.7,1.55,46.45,83766,-466,-5134,38958,47.16,178.91,67.84,82.01,75.47,-5.45
2009/3/12,48.6,48.7,47.95,48.25,-0.45,46.78,51598,-3043,-997,-5871,47.49,127.46,63.89,82.85,77.93,-13.64
2009/3/13,49,50,48.8,49.5,1.25,47.23,114439,-1018,1734,32510,47.98,147.1,69.45,85.67,80.51,-7.69
2009/3/16,50,50.1,49.85,50,0.5,47.75,74103,-3019,-2174,15747,48.49,136.87,71.43,89.82,83.61,-1.68
2009/3/17,50,50.2,49.65,50,0,48.29,57941,-4446,302,7382,48.89,106.77,71.43,91.62,86.28,-3.31
2009/3/18,50.2,50.5,49.75,50.4,0.4,48.73,80470,-1926,-32,12998,49.28,92.62,73.19,93.58,88.72,-1.57
2009/3/19,50.5,50.6,49.1,49.2,-1.2,48.99,50861,-1236,1341,-6976,49.36,56.99,60.6,84.34,87.26,-21.71
2009/3/20,49.7,49.7,47.7,47.7,-1.5,48.92,62286,-4698,1763,-13766,49.13,6.69,48.8,65.98,80.17,-45.67
2009/3/23,48.4,50.4,48.4,50.3,2.6,49.12,59146,1203,-217,15023,49.38,37.54,62.89,73.87,78.07,-5.17
2009/3/24,51.5,52.4,51.3,52.4,2.1,49.64,62071,982,-1721,16866,49.97,90.42,70.32,82.58,79.57,0
2009/3/25,52,53,51.6,52.2,-0.2,50,73988,-2833,1849,-11977,50.44,82.43,68.84,83.36,80.83,-12.31
2009/3/26,51.6,52.8,51.1,51.7,-0.5,50.34,61227,-2815,774,-15392,50.75,64.61,65,80.73,80.8,-20
2009/3/27,52.6,52.6,51.6,51.9,0.2,50.58,53538,-2420,-4005,5643,51.03,61.95,65.86,80.23,80.61,-16.92
2009/3/30,51.8,52,50.8,52,0.1,50.78,46002,-546,-4520,4386,51.29,39.53,66.32,80.53,80.58,-18.87
2009/3/31,51.6,52.8,51.4,51.4,-0.6,50.92,69288,-694,-793,24028,51.4,42.42,60.76,76.96,79.38,-30.19
2009/4/1,51.9,52,50.7,50.7,-0.7,50.95,51618,-311,677,-30429,51.36,13.84,54.73,70.17,76.31,-43.4
2009/4/2,52.3,52.5,51.5,52.4,1.7,51.27,84600,-3313,-999,24848,51.63,43.69,64.38,75.77,76.13,-11.32
2009/4/3,53.5,53.8,52.1,52.6,0.2,51.76,69680,-2625,-968,-2195,51.87,65,65.36,70.94,74.4,-19.67
2009/4/6,53.5,53.5,51.6,52.4,-0.2,51.97,76998,-730,-35,3410,51.98,48.49,63.4,65.57,71.46,-22.95
2009/4/7,51,52.1,51,52.1,-0.3,51.94,75563,-2913,1249,-11214,52.01,14.62,60.35,58.77,67.23,-27.87
