date,open,high,low,close,diff, sma10,vol,it,de,fi,wma10,CCI14,RSI 9,k_value,d_value,R
2008/12/1,24.7,25.2,24.3,24.6,-0.1,23.06,30306,737,517,4304,23.7,56.73,72.06,85.66,84.28,-11.11
2008/12/2,23.4,24.55,23.35,24.55,-0.05,23.38,26772,-4864,-53,-1099,23.97,37.28,71.42,85.44,84.67,-11.9
2008/12/3,24.55,25.25,24.25,24.7,0.15,23.72,30847,1913,18,12402,24.21,44.98,72.25,85.85,85.06,-11.54
2008/12/4,24.85,24.9,23,24.65,-0.05,24.07,32319,-1086,-5,-3276,24.38,26.54,71.47,82.83,84.32,-12.5
2008/12/5,24,24.45,23.3,24.4,-0.25,24.25,18560,-988,22,-1655,24.44,21.54,67.39,77.84,82.16,-17.31
2008/12/8,24.4,24.85,24.05,24.5,0.1,24.29,31349,94,523,2112,24.48,31.18,68.21,73.63,79.31,-15.38
2008/12/9,24.5,25.2,24.2,24.55,0.05,24.44,37799,1372,649,1367,24.53,29.27,68.65,71.55,76.73,-15
2008/12/10,24.55,25.9,24.5,25.45,0.9,24.66,43626,4138,195,2291,24.71,42.27,75.53,75.86,76.44,-8.82
2008/12/11,25.8,25.8,24.6,24.7,-0.75,24.68,17464,0,-209,3810,24.72,26.62,62.64,70.11,74.33,-35.29
2008/12/12,24.3,25.2,23.2,24.2,-0.5,24.63,23745,1427,-210,125,24.63,-8.35,55.53,60.54,69.73,-50
2008/12/15,24.7,25.85,24.7,25.8,1.6,24.75,37881,9140,1202,16734,24.85,44.04,68.43,72.54,70.67,-3.45
2008/12/16,25.8,26.3,25.6,25.8,0,24.87,27173,5511,425,5141,25.04,60.76,68.43,76.64,72.66,-15.15
2008/12/17,26,27.15,26,26.75,0.95,25.08,34066,653,-1604,12148,25.38,95.55,74.08,81.05,75.46,-9.64
2008/12/18,27.1,28.15,27.1,28,1.25,25.41,28386,2575,-242,1508,25.91,144.88,79.51,86.36,79.09,-2.91
2008/12/19,27.5,28,27.2,27.7,-0.3,25.74,19021,40,275,5306,26.33,126.54,75.25,87.88,82.02,-8.74
2008/12/22,28.4,28.7,25.8,25.8,-1.9,25.87,37886,-9654,458,-13108,26.34,70.09,54.48,74.34,79.46,-50.88
2008/12/23,25.05,25.5,24,24.05,-1.75,25.82,27485,-2005,-88,-9892,26,-53.99,42.36,54.71,71.21,-81.58
2008/12/24,23.2,25.1,23.2,25.05,1,25.78,22213,121,45,2252,25.86,-58.43,49.57,47.69,63.37,-66.36
2008/12/25,25.15,25.2,24.6,24.8,-0.25,25.79,9014,-96,-21,-1008,25.68,-38.16,47.89,41.49,56.08,-70.91
2008/12/26,24.55,25.55,24.55,25.05,0.25,25.88,11832,985,-11,893,25.55,-30.83,49.81,38.87,50.34,-66.36
2008/12/29,25.05,25.4,24.8,25.05,0,25.8,8778,211,139,1581,25.4,-31.23,49.81,37.13,45.94,-66.36
2008/12/30,25.45,26.8,25.45,26.65,1.6,25.89,18203,1818,264,3916,25.55,37.18,61.34,45.66,45.84,-37.27
2008/12/31,27,27,26.35,26.95,0.3,25.91,12876,3129,-31,2339,25.74,57.01,63.13,53.17,48.29,-31.82
2009/1/5,28,28.1,27.4,27.65,0.7,25.87,20432,-1040,148,8940,26.06,90.28,67.12,62.41,52.99,-19.09
2009/1/6,27.8,28,27.15,27.45,-0.2,25.85,18248,-1700,492,4852,26.35,70.46,64.86,70.52,58.84,-22.73
2009/1/7,27.95,28.35,27.2,28.1,0.65,26.08,23764,-1675,942,2724,26.76,79.99,68.71,78.73,65.47,-10.91
2009/1/8,27.15,27.55,26.5,27.2,-0.9,26.39,21367,-559,-325,3906,26.96,38.79,58.7,75.73,68.89,-27.27
2009/1/9,27.35,27.95,26.5,26.5,-0.7,26.54,25492,-7019,124,-5725,26.98,41.22,52.06,67.59,68.46,-40
2009/1/10,26,26.4,25.6,25.65,-0.85,26.62,21686,-3523,-136,-8611,26.82,-23.61,45.1,53.04,63.32,-55.45
2009/1/12,25.8,26.3,24.95,25,-0.65,26.62,21014,-1199,27,-6613,26.52,-53.17,40.45,35.85,54.16,-65.05
2009/1/13,24.8,24.8,23.85,24.3,-0.7,26.54,37934,-5101,51,-15941,26.1,-127.76,35.95,27.23,45.19,-78.64
2009/1/14,24.55,25.4,24.45,25.35,1.05,26.41,26002,-3886,199,-1691,25.88,-76.83,46.07,29.27,39.88,-66.67
2009/1/15,24.35,24.75,24.2,24.3,-1.05,26.15,25020,266,-284,-11936,25.5,-112.34,39.12,22.85,34.2,-90
2009/1/16,24.65,24.7,24.1,24.4,0.1,25.82,13659,-174,-234,-3759,25.18,-102.17,40.08,19.3,29.24,-87.78
2009/1/17,24.7,24.85,24.4,24.6,0.2,25.54,8132,121,-347,396,24.96,-82.04,42.15,18.97,25.81,-83.33
2009/1/19,24.5,24.6,23.9,24.05,-0.55,25.13,22516,-1543,73,-4202,24.69,-92.23,38.08,14.27,21.97,-95.56
2009/1/20,23.85,23.85,22.4,22.4,-1.65,24.65,36281,-622,512,-17544,24.19,-134.16,28.72,9.51,17.82,-100
2009/1/21,21.9,22.75,21.9,22.35,-0.05,24.24,28645,-3061,-48,-10955,23.77,-133.65,28.48,9.75,15.13,-93.02
2009/2/2,22.4,23.9,22.4,23.9,1.55,24.06,28120,349,-40,8709,23.71,-69.78,44.55,25.55,18.6,-68.99
2009/2/3,24.35,25.55,24.35,25.55,1.65,24.12,48673,2856,-246,24608,23.98,20.7,56.31,50.37,29.19,-39.67
2009/2/4,26.3,26.4,25.65,26.3,0.75,24.32,36453,868,-224,11303,24.37,68.3,60.58,66.17,41.52,-27.27
2009/2/5,26.2,26.5,25.6,26,-0.3,24.38,24714,4900,58,5455,24.68,64.99,58.03,73.82,52.29,-10.87
2009/2/6,26.5,27,26.2,26.9,0.9,24.64,28721,4868,311,10468,25.14,85.22,63.26,81.9,62.16,-1.96
2009/2/9,27.4,27.9,26.2,26.2,-0.7,24.82,20598,154,-602,2687,25.42,79.29,57.04,78.49,67.6,-28.33
2009/2/10,26,26.7,26,26.45,0.25,25.01,14230,-124,-161,-468,25.71,59.21,58.67,77.6,70.93,-24.17
2009/2/11,25.8,27.1,25.75,27,0.55,25.3,19567,1859,1227,5663,26.08,62.62,62.22,80.07,73.98,-15
2009/2/12,27.4,27.4,25.8,26.05,-0.95,25.67,17092,836,-230,1101,26.21,50.21,53.32,75.5,74.49,-30.83
2009/2/13,25.7,27.4,25.7,27.3,1.25,26.16,20431,-480,2003,6228,26.51,59,61.48,78.03,75.67,-10
2009/2/16,27.2,27.75,26.8,27.35,0.05,26.51,14172,2150,1154,4334,26.72,70.1,61.78,77.38,76.24,-9.17
2009/2/17,27.35,27.75,26.45,26.7,-0.65,26.62,21000,350,103,3235,26.76,50.21,55.45,67.53,73.34,-20
2009/2/18,26.6,27.05,26.35,26.4,-0.3,26.63,25802,1205,300,-4158,26.72,27.5,52.65,55.63,67.43,-25
2009/2/19,26.4,26.9,25.7,26.9,0.5,26.72,17933,-120,6,-1060,26.77,11.57,56.75,55.27,63.38,-18.18
