date,open,high,low,close,diff,sma10,vol,it,de,fi,wma10,CCI14,RSI 9,k_value,d_value,R
2008/12/1,7.99,8.35,7.93,8.35,0.54,7.59,28725,150,1364,1585,7.76,176.91,69.38 ,84.39 ,73.39 ,0.00 
2008/12/2,8.3,8.55,8.25,8.48,0.13,7.7,113377,4020,-454,6251,7.92,173.21,71.21 ,88.32 ,78.37 ,-3.83 
2008/12/3,8.78,9,8.4,8.4,-0.08,7.81,86666,-350,2174,4271,8.05,160.03,68.37 ,83.44 ,80.06 ,-26.32 
2008/12/4,8.53,8.6,7.99,8,-0.4,7.92,44670,4380,-1112,1297,8.08,73.16,55.85 ,69.91 ,76.68 ,-43.86 
2008/12/5,8.24,8.24,8,8.18,0.18,8.01,28228,-260,-654,151,8.13,57.3,59.59 ,61.96 ,71.77 ,-35.96 
2008/12/8,8.4,8.73,8.4,8.72,0.54,8.13,48248,3865,986,9643,8.26,110.05,68.59 ,68.20 ,70.58 ,-12.28 
2008/12/9,8.8,8.87,8.37,8.4,-0.32,8.2,38134,-434,-220,1231,8.31,80.99,59.73 ,65.01 ,68.72 ,-26.32 
2008/12/10,8.5,8.75,8.42,8.7,0.3,8.3,37175,-500,1036,2397,8.4,74.08,64.56 ,68.34 ,68.60 ,-13.16 
2008/12/11,8.6,8.8,8.35,8.35,-0.35,8.34,42058,0,-798,2288,8.41,43.4,55.77 ,58.64 ,65.28 ,-37.14 
2008/12/12,8.15,8.3,7.81,8.01,-0.34,8.36,39652,-5570,-278,-9114,8.35,-23.39,48.56 ,44.70 ,58.42 ,-65.13 
2008/12/15,8.57,8.57,8.17,8.18,0.17,8.34,49394,-4091,-27,-1402,8.31,6.22,52.05 ,40.16 ,52.33 ,-56.55 
2008/12/16,8.01,8.15,7.9,8.05,-0.13,8.3,20226,-3901,-66,-1278,8.26,-35,49.18 ,34.32 ,46.33 ,-65.52 
2008/12/17,8.15,8.24,7.9,7.9,-0.15,8.25,27221,-299,121,4263,8.19,-40.23,45.89 ,25.71 ,39.46 ,-91.67 
2008/12/18,7.98,8.36,7.9,8.3,0.4,8.28,33819,546,2623,4918,8.2,-19.5,54.93 ,32.55 ,37.15 ,-58.82 
2008/12/19,8.4,8.56,8.16,8.18,-0.12,8.28,36320,12,-1227,-2398,8.18,-3.94,52.00 ,33.34 ,35.88 ,-68.91 
2008/12/22,8.2,8.23,7.8,7.8,-0.38,8.19,25894,863,-993,-1370,8.09,-63.06,43.69 ,22.22 ,31.33 ,-100.00 
2008/12/23,7.8,7.89,7.36,7.5,-0.3,8.1,21741,0,-683,-3182,7.97,-121.49,38.26 ,18.06 ,26.90 ,-90.73 
